,level_0,level_1,0
0,0,0,5.9638124
1,0,1,6.3445926
2,0,2,6.0813503
3,0,3,5.6670938
4,0,4,5.821435
5,0,5,5.699867
6,0,6,6.4832864
7,0,7,6.554094
8,0,8,6.137989
9,0,9,6.51595
10,0,10,6.5060153
11,0,11,6.029573
12,1,0,5.6039476
13,1,1,5.7562966
14,1,2,5.4713445
15,1,3,4.438742
16,1,4,5.187364
17,1,5,5.2779913
18,1,6,5.4544945
19,1,7,5.827267
20,1,8,5.0272417
21,1,9,5.1360483
22,1,10,5.490799
23,1,11,4.813274
24,2,0,4.258653
25,2,1,4.647611
26,2,2,4.609366
27,2,3,4.3545566
28,2,4,4.5008087
29,2,5,4.409501
30,2,6,4.276108
31,2,7,3.8059886
32,2,8,4.457704
33,2,9,4.3669324
34,2,10,4.403718
35,2,11,3.9193273
36,3,0,4.1445746
37,3,1,3.9146254
38,3,2,4.233619
39,3,3,4.641028
40,3,4,3.7265284
41,3,5,3.9672413
42,3,6,4.1400323
43,3,7,4.2001896
44,3,8,4.0378
45,3,9,4.0030494
46,3,10,4.2274036
47,3,11,4.068878
48,4,0,4.1102386
49,4,1,4.133729
50,4,2,4.1444325
51,4,3,4.0694466
52,4,4,4.108643
53,4,5,4.03224
54,4,6,4.2094183
55,4,7,4.207821
56,4,8,4.2950826
57,4,9,4.0315623
58,4,10,3.9346888
59,4,11,4.6802783
60,5,0,4.5103197
61,5,1,6.374851
62,5,2,4.267251
63,5,3,4.1616673
64,5,4,4.2072573
65,5,5,4.4025154
66,5,6,4.2276187
67,5,7,4.1418023
68,5,8,3.9942532
69,5,9,3.8341043
70,5,10,4.377282
71,5,11,4.0063124
72,6,0,4.3724656
73,6,1,4.0805087
74,6,2,3.8341625
75,6,3,4.0571475
76,6,4,4.4608784
77,6,5,4.1230216
78,6,6,4.239919
79,6,7,4.2936544
80,6,8,4.3047223
81,6,9,5.148537
82,6,10,4.189591
83,6,11,4.282776
84,7,0,4.515169
85,7,1,4.2995667
86,7,2,4.977168
87,7,3,4.290585
88,7,4,4.147203
89,7,5,4.281692
90,7,6,4.1468587
91,7,7,4.160836
92,7,8,4.3812137
93,7,9,4.417121
94,7,10,4.5538783
95,7,11,5.3611984
96,8,0,4.0678563
97,8,1,4.3787704
98,8,2,4.789558
99,8,3,4.0339437
100,8,4,4.3935823
101,8,5,4.5882077
102,8,6,4.438173
103,8,7,4.6663213
104,8,8,4.7129073
105,8,9,4.184385
106,8,10,4.314939
107,8,11,4.198807
108,9,0,4.2551746
109,9,1,4.0969625
110,9,2,4.4157414
111,9,3,4.8635225
112,9,4,3.9377818
113,9,5,4.187841
114,9,6,4.1575985
115,9,7,4.050338
116,9,8,4.2680316
117,9,9,4.4108186
118,9,10,4.4330726
119,9,11,4.9107733
120,10,0,4.5247903
121,10,1,4.1689115
122,10,2,4.5324354
123,10,3,4.0497394
124,10,4,4.260534
125,10,5,4.4153466
126,10,6,4.1879992
127,10,7,4.2788987
128,10,8,4.3314524
129,10,9,4.3647003
130,10,10,4.3852797
131,10,11,4.6251683
132,11,0,4.7319546
133,11,1,4.1807127
134,11,2,4.5710845
135,11,3,4.705933
136,11,4,4.189712
137,11,5,4.150086
138,11,6,4.5939384
139,11,7,4.134489
140,11,8,5.485156
141,11,9,4.3172426
142,11,10,4.405011
143,11,11,4.595198
