,level_0,level_1,0
0,0,0,5.7239013
1,0,1,6.464922
2,0,2,5.325938
3,0,3,5.536062
4,0,4,5.60277
5,0,5,5.738242
6,0,6,7.0149713
7,0,7,6.3040695
8,0,8,5.431647
9,0,9,5.7169137
10,0,10,6.0823917
11,0,11,5.293016
12,1,0,5.7615085
13,1,1,5.4728904
14,1,2,5.183985
15,1,3,5.3829985
16,1,4,5.4124017
17,1,5,5.594192
18,1,6,5.4650273
19,1,7,5.563017
20,1,8,5.3955092
21,1,9,5.4365616
22,1,10,5.412381
23,1,11,5.6104593
24,2,0,5.3441014
25,2,1,5.776094
26,2,2,5.7658315
27,2,3,5.533674
28,2,4,5.4980536
29,2,5,5.519859
30,2,6,5.357017
31,2,7,5.3541603
32,2,8,5.4275756
33,2,9,5.5620265
34,2,10,5.474529
35,2,11,5.333617
36,3,0,5.229593
37,3,1,5.1180167
38,3,2,5.4813533
39,3,3,5.604401
40,3,4,5.25068
41,3,5,5.3353877
42,3,6,5.45766
43,3,7,5.5283837
44,3,8,5.5076537
45,3,9,5.2780724
46,3,10,5.5785184
47,3,11,5.4298825
48,4,0,5.4392376
49,4,1,5.46663
50,4,2,5.251723
51,4,3,5.408113
52,4,4,5.2689443
53,4,5,5.1025486
54,4,6,5.5001516
55,4,7,5.498089
56,4,8,5.4440207
57,4,9,5.453335
58,4,10,5.2418823
59,4,11,6.0134997
60,5,0,5.598697
61,5,1,6.860498
62,5,2,5.304043
63,5,3,5.420416
64,5,4,5.6144695
65,5,5,5.4260693
66,5,6,5.729059
67,5,7,5.3089347
68,5,8,5.2668004
69,5,9,5.234365
70,5,10,5.6740146
71,5,11,5.4490924
72,6,0,5.4214497
73,6,1,5.311768
74,6,2,5.307637
75,6,3,5.5285654
76,6,4,5.7201557
77,6,5,5.4496593
78,6,6,5.6371818
79,6,7,5.5999126
80,6,8,5.522215
81,6,9,5.9586487
82,6,10,5.4340177
83,6,11,5.4068136
84,7,0,5.566636
85,7,1,5.4247003
86,7,2,6.204919
87,7,3,5.368842
88,7,4,5.250746
89,7,5,5.601216
90,7,6,5.5841312
91,7,7,5.3740573
92,7,8,5.647851
93,7,9,5.3427954
94,7,10,5.653621
95,7,11,6.2099156
96,8,0,5.3133216
97,8,1,5.052295
98,8,2,6.097882
99,8,3,5.5447493
100,8,4,5.4718175
101,8,5,5.691005
102,8,6,5.5495186
103,8,7,5.5497437
104,8,8,5.7465234
105,8,9,5.522974
106,8,10,5.4415417
107,8,11,5.3868775
108,9,0,5.8418307
109,9,1,5.0957794
110,9,2,5.745153
111,9,3,5.750686
112,9,4,5.5062823
113,9,5,6.1208463
114,9,6,5.269003
115,9,7,5.536876
116,9,8,5.900968
117,9,9,5.209272
118,9,10,5.5015674
119,9,11,6.301896
120,10,0,5.9380035
121,10,1,5.3534226
122,10,2,5.7433343
123,10,3,5.420275
124,10,4,5.5373054
125,10,5,5.444027
126,10,6,5.664891
127,10,7,5.6071706
128,10,8,5.9376163
129,10,9,5.3984065
130,10,10,5.2838173
131,10,11,5.8131456
132,11,0,5.9194303
133,11,1,5.209221
134,11,2,5.681977
135,11,3,5.830798
136,11,4,5.044819
137,11,5,5.4200854
138,11,6,5.552938
139,11,7,5.1189785
140,11,8,6.6743207
141,11,9,5.370938
142,11,10,5.59987
143,11,11,5.9940395
