,level_0,level_1,0
0,0,0,1.3198891
1,0,1,4.229253
2,0,2,1.3768659
3,0,3,1.4044545
4,0,4,1.3339114
5,0,5,1.7546813
6,0,6,3.3715358
7,0,7,2.1031744
8,0,8,1.7013624
9,0,9,2.078482
10,0,10,2.138187
11,0,11,0.78591645
12,1,0,1.3502036
13,1,1,1.2467299
14,1,2,0.31108475
15,1,3,0.486559
16,1,4,0.61854714
17,1,5,1.2268199
18,1,6,1.0839413
19,1,7,1.6477733
20,1,8,0.6118336
21,1,9,0.51339823
22,1,10,0.39882284
23,1,11,1.4813521
24,2,0,1.0004954
25,2,1,1.6351154
26,2,2,1.3568895
27,2,3,0.96471226
28,2,4,1.2718029
29,2,5,1.1745003
30,2,6,1.0985503
31,2,7,0.630947
32,2,8,1.2597176
33,2,9,1.0206046
34,2,10,1.1539876
35,2,11,0.60192835
36,3,0,1.0345069
37,3,1,0.9802211
38,3,2,1.2730939
39,3,3,1.2990224
40,3,4,0.7477874
41,3,5,1.1813893
42,3,6,1.131649
43,3,7,1.0470428
44,3,8,1.0217535
45,3,9,0.95871484
46,3,10,1.4751372
47,3,11,1.0109458
48,4,0,1.0224268
49,4,1,0.98356235
50,4,2,0.96601206
51,4,3,0.9553108
52,4,4,1.4682957
53,4,5,0.915671
54,4,6,1.6426649
55,4,7,1.6575553
56,4,8,1.3615264
57,4,9,1.0837741
58,4,10,0.8807147
59,4,11,2.3701768
60,5,0,1.1884761
61,5,1,2.427422
62,5,2,1.3526306
63,5,3,1.4206214
64,5,4,1.097899
65,5,5,0.98228574
66,5,6,1.2584605
67,5,7,0.8115603
68,5,8,1.1556135
69,5,9,0.9175106
70,5,10,1.5856414
71,5,11,1.390613
72,6,0,1.3273859
73,6,1,0.63908404
74,6,2,0.68213606
75,6,3,1.2635541
76,6,4,1.6081005
77,6,5,1.4334322
78,6,6,1.7627555
79,6,7,1.6261364
80,6,8,1.4044445
81,6,9,1.1308182
82,6,10,1.0931163
83,6,11,1.2760081
84,7,0,1.2202545
85,7,1,0.7416581
86,7,2,0.41306943
87,7,3,1.1130861
88,7,4,1.0017109
89,7,5,0.93802863
90,7,6,1.1400439
91,7,7,0.6914094
92,7,8,0.9734233
93,7,9,0.7892663
94,7,10,0.51272285
95,7,11,2.535205
96,8,0,1.2912161
97,8,1,0.6185378
98,8,2,3.2138333
99,8,3,0.6564927
100,8,4,0.7588957
101,8,5,1.3879788
102,8,6,0.91899884
103,8,7,1.2578094
104,8,8,1.2641512
105,8,9,1.1637707
106,8,10,1.4953414
107,8,11,0.60542667
108,9,0,0.6957982
109,9,1,0.40251848
110,9,2,0.9511759
111,9,3,1.5780704
112,9,4,0.8557276
113,9,5,1.7926364
114,9,6,0.48356935
115,9,7,0.7572036
116,9,8,0.8324178
117,9,9,0.65575457
118,9,10,0.91737056
119,9,11,1.6903962
120,10,0,0.98214686
121,10,1,0.5175733
122,10,2,1.1092031
123,10,3,0.53940547
124,10,4,0.8950279
125,10,5,1.3064704
126,10,6,0.5540793
127,10,7,0.7233814
128,10,8,0.53821176
129,10,9,0.92925966
130,10,10,0.73650503
131,10,11,0.5668181
132,11,0,2.0041773
133,11,1,0.82406926
134,11,2,0.71358025
135,11,3,1.5283973
136,11,4,0.6797506
137,11,5,0.40491462
138,11,6,0.5317412
139,11,7,0.63137597
140,11,8,3.5388453
141,11,9,0.5214062
142,11,10,0.7881669
143,11,11,3.218587
