,level_0,level_1,0
0,0,0,90.47868
1,0,1,160.21774
2,0,2,95.2101
3,0,3,86.85957
4,0,4,97.920494
5,0,5,81.294754
6,0,6,128.16376
7,0,7,171.23778
8,0,8,118.33878
9,0,9,165.37372
10,0,10,161.86378
11,0,11,78.69449
12,1,0,81.86645
13,1,1,91.96489
14,1,2,32.652298
15,1,3,28.8511
16,1,4,46.661636
17,1,5,67.53293
18,1,6,65.833786
19,1,7,108.25654
20,1,8,44.439518
21,1,9,39.71504
22,1,10,45.15815
23,1,11,60.302956
24,2,0,39.56691
25,2,1,50.030045
26,2,2,52.22657
27,2,3,41.438923
28,2,4,43.657486
29,2,5,42.812084
30,2,6,40.23391
31,2,7,30.654968
32,2,8,43.077393
33,2,9,43.611893
34,2,10,43.915627
35,2,11,24.169012
36,3,0,23.983986
37,3,1,32.648525
38,3,2,42.891792
39,3,3,44.081947
40,3,4,24.21381
41,3,5,37.42779
42,3,6,37.558105
43,3,7,38.54976
44,3,8,35.786926
45,3,9,32.00002
46,3,10,41.105164
47,3,11,35.16726
48,4,0,30.958838
49,4,1,30.40077
50,4,2,32.450718
51,4,3,33.42942
52,4,4,39.404953
53,4,5,29.004175
54,4,6,45.59096
55,4,7,44.660828
56,4,8,39.968895
57,4,9,33.625053
58,4,10,25.572071
59,4,11,67.54814
60,5,0,27.829506
61,5,1,23.088469
62,5,2,42.843933
63,5,3,41.20842
64,5,4,34.610786
65,5,5,21.429514
66,5,6,37.986942
67,5,7,25.390776
68,5,8,29.347527
69,5,9,27.425402
70,5,10,39.560143
71,5,11,38.429478
72,6,0,35.507687
73,6,1,22.812866
74,6,2,24.535416
75,6,3,35.417843
76,6,4,47.397156
77,6,5,43.496864
78,6,6,43.179462
79,6,7,45.1119
80,6,8,44.15152
81,6,9,20.690685
82,6,10,34.149063
83,6,11,31.241373
84,7,0,38.08168
85,7,1,19.447289
86,7,2,9.859342
87,7,3,29.95627
88,7,4,35.121113
89,7,5,29.107628
90,7,6,37.192715
91,7,7,25.289583
92,7,8,31.368973
93,7,9,21.367464
94,7,10,13.127785
95,7,11,45.4107
96,8,0,36.182
97,8,1,15.355869
98,8,2,63.940674
99,8,3,25.857536
100,8,4,25.050783
101,8,5,42.036587
102,8,6,30.8168
103,8,7,34.04474
104,8,8,35.29322
105,8,9,35.753334
106,8,10,44.356365
107,8,11,22.727856
108,9,0,25.08807
109,9,1,16.361982
110,9,2,28.088486
111,9,3,47.75257
112,9,4,31.415787
113,9,5,51.048504
114,9,6,19.772114
115,9,7,26.110346
116,9,8,31.451857
117,9,9,21.003294
118,9,10,26.941334
119,9,11,39.240498
120,10,0,33.993523
121,10,1,20.447693
122,10,2,36.214684
123,10,3,21.915594
124,10,4,30.22603
125,10,5,41.096672
126,10,6,22.21143
127,10,7,29.678013
128,10,8,17.530151
129,10,9,34.63524
130,10,10,26.145998
131,10,11,22.371523
132,11,0,72.05971
133,11,1,27.799416
134,11,2,30.834803
135,11,3,47.68476
136,11,4,25.214684
137,11,5,22.109426
138,11,6,24.24496
139,11,7,24.893745
140,11,8,86.806015
141,11,9,24.445301
142,11,10,30.755877
143,11,11,88.54788
